qid,context,question,answer
foody_770,"Không gian rất đẹp 👍 có rất nhiều sách hay và mới .
Khâu giữ xe cũng rất tốt , mình chưa bị đuổi đi giữ xe chổ khác bao giờ . Bên Sbuck thì giữ xe mặt như cái mâm , chỉ thích giữ xe hơi vs moto 😤 PLong thì chúa hết chỗ giữ xe .
Nhân viên dễ thương .
Thật lòng là nước dở 😂 1 ly matcha size vừa cũng 95k mà uống hơi tệ , có lúc thì kem ở trên còn bị lỏng 😑
Bù lại bingsu và bánh ở đây rất ngon .
Món hè này là snowflake bingsu . Xoài 220k , ăn hơi thất vọng , trang trí xấu nữa 😳 . Cheese 210k thì ngon rực rỡ 😍
Nói chung giá hơi mắc nhưng vẫn đáng đồng tiền .
",Khách hàng đánh giá gì về khâu giữ xe tại quán?,"rất tốt , mình chưa bị đuổi đi giữ xe chổ khác bao giờ"
foody_771,"Không gian rất đẹp 👍 có rất nhiều sách hay và mới .
Khâu giữ xe cũng rất tốt , mình chưa bị đuổi đi giữ xe chổ khác bao giờ . Bên Sbuck thì giữ xe mặt như cái mâm , chỉ thích giữ xe hơi vs moto 😤 PLong thì chúa hết chỗ giữ xe .
Nhân viên dễ thương .
Thật lòng là nước dở 😂 1 ly matcha size vừa cũng 95k mà uống hơi tệ , có lúc thì kem ở trên còn bị lỏng 😑
Bù lại bingsu và bánh ở đây rất ngon .
Món hè này là snowflake bingsu . Xoài 220k , ăn hơi thất vọng , trang trí xấu nữa 😳 . Cheese 210k thì ngon rực rỡ 😍
Nói chung giá hơi mắc nhưng vẫn đáng đồng tiền .
",Khách hàng cảm nhận về nhân viên tại quán ra sao?,dễ thương
foody_772,"Không gian rất đẹp 👍 có rất nhiều sách hay và mới .
Khâu giữ xe cũng rất tốt , mình chưa bị đuổi đi giữ xe chổ khác bao giờ . Bên Sbuck thì giữ xe mặt như cái mâm , chỉ thích giữ xe hơi vs moto 😤 PLong thì chúa hết chỗ giữ xe .
Nhân viên dễ thương .
Thật lòng là nước dở 😂 1 ly matcha size vừa cũng 95k mà uống hơi tệ , có lúc thì kem ở trên còn bị lỏng 😑
Bù lại bingsu và bánh ở đây rất ngon .
Món hè này là snowflake bingsu . Xoài 220k , ăn hơi thất vọng , trang trí xấu nữa 😳 . Cheese 210k thì ngon rực rỡ 😍
Nói chung giá hơi mắc nhưng vẫn đáng đồng tiền .
",Người dùng đánh giá chung về chất lượng đồ uống tại quán như thế nào?,nước dở
foody_773,"Không gian rất đẹp 👍 có rất nhiều sách hay và mới .
Khâu giữ xe cũng rất tốt , mình chưa bị đuổi đi giữ xe chổ khác bao giờ . Bên Sbuck thì giữ xe mặt như cái mâm , chỉ thích giữ xe hơi vs moto 😤 PLong thì chúa hết chỗ giữ xe .
Nhân viên dễ thương .
Thật lòng là nước dở 😂 1 ly matcha size vừa cũng 95k mà uống hơi tệ , có lúc thì kem ở trên còn bị lỏng 😑
Bù lại bingsu và bánh ở đây rất ngon .
Món hè này là snowflake bingsu . Xoài 220k , ăn hơi thất vọng , trang trí xấu nữa 😳 . Cheese 210k thì ngon rực rỡ 😍
Nói chung giá hơi mắc nhưng vẫn đáng đồng tiền .
",Người dùng đánh giá về bánh ở quán như thế nào?,bánh ở đây rất ngon
foody_774,"Không gian rất đẹp 👍 có rất nhiều sách hay và mới .
Khâu giữ xe cũng rất tốt , mình chưa bị đuổi đi giữ xe chổ khác bao giờ . Bên Sbuck thì giữ xe mặt như cái mâm , chỉ thích giữ xe hơi vs moto 😤 PLong thì chúa hết chỗ giữ xe .
Nhân viên dễ thương .
Thật lòng là nước dở 😂 1 ly matcha size vừa cũng 95k mà uống hơi tệ , có lúc thì kem ở trên còn bị lỏng 😑
Bù lại bingsu và bánh ở đây rất ngon .
Món hè này là snowflake bingsu . Xoài 220k , ăn hơi thất vọng , trang trí xấu nữa 😳 . Cheese 210k thì ngon rực rỡ 😍
Nói chung giá hơi mắc nhưng vẫn đáng đồng tiền .
",Menu mùa hè tại quán có những món gì mới?,snowflake bingsu
foody_775,"Không gian rất đẹp 👍 có rất nhiều sách hay và mới .
Khâu giữ xe cũng rất tốt , mình chưa bị đuổi đi giữ xe chổ khác bao giờ . Bên Sbuck thì giữ xe mặt như cái mâm , chỉ thích giữ xe hơi vs moto 😤 PLong thì chúa hết chỗ giữ xe .
Nhân viên dễ thương .
Thật lòng là nước dở 😂 1 ly matcha size vừa cũng 95k mà uống hơi tệ , có lúc thì kem ở trên còn bị lỏng 😑
Bù lại bingsu và bánh ở đây rất ngon .
Món hè này là snowflake bingsu . Xoài 220k , ăn hơi thất vọng , trang trí xấu nữa 😳 . Cheese 210k thì ngon rực rỡ 😍
Nói chung giá hơi mắc nhưng vẫn đáng đồng tiền .
",Theo khách hàng thì món nào tệ nhất quán?,Xoài 220k
foody_776,"Không gian rất đẹp 👍 có rất nhiều sách hay và mới .
Khâu giữ xe cũng rất tốt , mình chưa bị đuổi đi giữ xe chổ khác bao giờ . Bên Sbuck thì giữ xe mặt như cái mâm , chỉ thích giữ xe hơi vs moto 😤 PLong thì chúa hết chỗ giữ xe .
Nhân viên dễ thương .
Thật lòng là nước dở 😂 1 ly matcha size vừa cũng 95k mà uống hơi tệ , có lúc thì kem ở trên còn bị lỏng 😑
Bù lại bingsu và bánh ở đây rất ngon .
Món hè này là snowflake bingsu . Xoài 220k , ăn hơi thất vọng , trang trí xấu nữa 😳 . Cheese 210k thì ngon rực rỡ 😍
Nói chung giá hơi mắc nhưng vẫn đáng đồng tiền .
",Theo khách hàng thì món nào ngon nhất quán?,Cheese 210k
foody_777,"Mình đi 3 người , gọi 3 ly nước thì đều thấy tạm , bình thường như các quán khác , riêng ly matcha thì khá hơn 2 ly kia . 
Thêm 1 dĩa bò khô cục , thì 20 cục hết 18 cục ngậm xong nhổ ra rồi . 
Y như cục đá tẩm gia vị mặc dù 3 đứa đều cố gắng nhai cho ra 😂 . 
Đi buổi tối nên rất đông và ồn ào do không gian nhỏ . 
Nói chung là chưa hài lòng cho lắm",Nhận xét của khách hàng về chất lượng thức uống của quán như thế nào?,"thấy tạm , bình thường như các quán khác , riêng ly matcha thì khá hơn"
foody_778,"Mình đi 3 người , gọi 3 ly nước thì đều thấy tạm , bình thường như các quán khác , riêng ly matcha thì khá hơn 2 ly kia . 
Thêm 1 dĩa bò khô cục , thì 20 cục hết 18 cục ngậm xong nhổ ra rồi . 
Y như cục đá tẩm gia vị mặc dù 3 đứa đều cố gắng nhai cho ra 😂 . 
Đi buổi tối nên rất đông và ồn ào do không gian nhỏ . 
Nói chung là chưa hài lòng cho lắm",Nhận xét của khách hàng về đồ ăn vặt tại quán ra sao?,20 cục hết 18 cục ngậm xong nhổ ra
foody_779,"Mình đi 3 người , gọi 3 ly nước thì đều thấy tạm , bình thường như các quán khác , riêng ly matcha thì khá hơn 2 ly kia . 
Thêm 1 dĩa bò khô cục , thì 20 cục hết 18 cục ngậm xong nhổ ra rồi . 
Y như cục đá tẩm gia vị mặc dù 3 đứa đều cố gắng nhai cho ra 😂 . 
Đi buổi tối nên rất đông và ồn ào do không gian nhỏ . 
Nói chung là chưa hài lòng cho lắm",Vì sao khách hàng không thích đồ ăn vặt tại quán?,Y như cục đá tẩm gia vị
foody_780,"Mình đi 3 người , gọi 3 ly nước thì đều thấy tạm , bình thường như các quán khác , riêng ly matcha thì khá hơn 2 ly kia . 
Thêm 1 dĩa bò khô cục , thì 20 cục hết 18 cục ngậm xong nhổ ra rồi . 
Y như cục đá tẩm gia vị mặc dù 3 đứa đều cố gắng nhai cho ra 😂 . 
Đi buổi tối nên rất đông và ồn ào do không gian nhỏ . 
Nói chung là chưa hài lòng cho lắm",Vào buổi tối không gian tại quán như thế nào?,rất đông và ồn ào
foody_781,"Mình đi 3 người , gọi 3 ly nước thì đều thấy tạm , bình thường như các quán khác , riêng ly matcha thì khá hơn 2 ly kia . 
Thêm 1 dĩa bò khô cục , thì 20 cục hết 18 cục ngậm xong nhổ ra rồi . 
Y như cục đá tẩm gia vị mặc dù 3 đứa đều cố gắng nhai cho ra 😂 . 
Đi buổi tối nên rất đông và ồn ào do không gian nhỏ . 
Nói chung là chưa hài lòng cho lắm",Nhìn chung thì cảm nhận của bạn về quán ra sao?,chưa hài lòng
foody_782,"Được thằng em mua mang về cho
Bản thân ngay từ trước đã không thích uống Dingtea rồi nhưng được tặng nên cũng nhận
Mình xin phép chỉ nói về vị thôi , nó cứ ngọt ngọt lợ lợ kiểu khó chịu , không thanh , trân châu thì hơi cứng , nói chung là chán
Với giá 45k thì phải gọi là quá phí tiền
Đương nhiên là không quay lại mua nữa
",Bạn mua thực phẩm của quán bằng cách nào?,thằng em mua mang về cho
foody_783,"Được thằng em mua mang về cho
Bản thân ngay từ trước đã không thích uống Dingtea rồi nhưng được tặng nên cũng nhận
Mình xin phép chỉ nói về vị thôi , nó cứ ngọt ngọt lợ lợ kiểu khó chịu , không thanh , trân châu thì hơi cứng , nói chung là chán
Với giá 45k thì phải gọi là quá phí tiền
Đương nhiên là không quay lại mua nữa
",Khách hàng nhận xét về vị của thức uống của quán như thế nào?,"ngọt ngọt lợ lợ kiểu khó chịu , không thanh"
foody_784,"Được thằng em mua mang về cho
Bản thân ngay từ trước đã không thích uống Dingtea rồi nhưng được tặng nên cũng nhận
Mình xin phép chỉ nói về vị thôi , nó cứ ngọt ngọt lợ lợ kiểu khó chịu , không thanh , trân châu thì hơi cứng , nói chung là chán
Với giá 45k thì phải gọi là quá phí tiền
Đương nhiên là không quay lại mua nữa
",Khách hàng nói gì về giá cả so với chất lượng của quán?,giá 45k thì phải gọi là quá phí tiền
foody_785,"Đến với menu bạn sẽ thấy giá cả hơi mắc thì phải nhưng khi thưởng thức được món ăn ở đây mình thấy hoàn toàn đồng ý . 
Nước sốt được làm rất ngon , thịt bò mềm , nếu thêm tiêu vào kúc món ăn vừa được mang ra sẽ ngửi thất mùi rất thơm , thịt cũng thơm hơn . 
Phục vụ cũng rất tận tình và dễ thương . 
Có dịp mình sẽ ghé dây ăn món gà cari
",Khách hàng nhận xét giá cả ở quán như thế nào so với thị trường?,hơi mắc
foody_786,"Đến với menu bạn sẽ thấy giá cả hơi mắc thì phải nhưng khi thưởng thức được món ăn ở đây mình thấy hoàn toàn đồng ý . 
Nước sốt được làm rất ngon , thịt bò mềm , nếu thêm tiêu vào kúc món ăn vừa được mang ra sẽ ngửi thất mùi rất thơm , thịt cũng thơm hơn . 
Phục vụ cũng rất tận tình và dễ thương . 
Có dịp mình sẽ ghé dây ăn món gà cari
",Khách hàng đánh giá về nước sốt của quán ra sao?,được làm rất ngon
foody_787,"Đến với menu bạn sẽ thấy giá cả hơi mắc thì phải nhưng khi thưởng thức được món ăn ở đây mình thấy hoàn toàn đồng ý . 
Nước sốt được làm rất ngon , thịt bò mềm , nếu thêm tiêu vào kúc món ăn vừa được mang ra sẽ ngửi thất mùi rất thơm , thịt cũng thơm hơn . 
Phục vụ cũng rất tận tình và dễ thương . 
Có dịp mình sẽ ghé dây ăn món gà cari
",Thái độ phục vụ của nhân viên tại quán như thế nào?,tận tình và dễ thương
foody_788,"Đến với menu bạn sẽ thấy giá cả hơi mắc thì phải nhưng khi thưởng thức được món ăn ở đây mình thấy hoàn toàn đồng ý . 
Nước sốt được làm rất ngon , thịt bò mềm , nếu thêm tiêu vào kúc món ăn vừa được mang ra sẽ ngửi thất mùi rất thơm , thịt cũng thơm hơn . 
Phục vụ cũng rất tận tình và dễ thương . 
Có dịp mình sẽ ghé dây ăn món gà cari
",Khách hàng muốn quay lại quán để ăn món gì?,gà cari
foody_789,"Đã ăn ở aeon lẫn ở đây . Nhưng không thích ở đây bằng aeon . 
Tụi mình đi 6 7 đứa ăn 6 tô và rất nhiều tempura . 
Vì lần đầu ăn ở aeon mall đc tặng trà miễn phí nên mình tính tiên xong lên lầu ăn và hỏi thì nhân viên mặt hơi thiếu thiện cảm kêu chi nhánh này phải bỏ tiền mua : ) ) ) 
ăn chỗ này cũng lâu rồi mà giờ mình chưa quay lại vì cứ có cảm giác như nhân viên khinh học sinh : )
","So với nơi khác, khách hàng có nhận xét gì về quán?",không thích ở đây bằng aeon
foody_790,"Đã ăn ở aeon lẫn ở đây . Nhưng không thích ở đây bằng aeon . 
Tụi mình đi 6 7 đứa ăn 6 tô và rất nhiều tempura . 
Vì lần đầu ăn ở aeon mall đc tặng trà miễn phí nên mình tính tiên xong lên lầu ăn và hỏi thì nhân viên mặt hơi thiếu thiện cảm kêu chi nhánh này phải bỏ tiền mua : ) ) ) 
ăn chỗ này cũng lâu rồi mà giờ mình chưa quay lại vì cứ có cảm giác như nhân viên khinh học sinh : )
",Ăn ở những chi nhánh khác có khuyến mãi gì tặng kèm so với quán ở đây?,đc tặng trà miễn phí
foody_791,"Đã ăn ở aeon lẫn ở đây . Nhưng không thích ở đây bằng aeon . 
Tụi mình đi 6 7 đứa ăn 6 tô và rất nhiều tempura . 
Vì lần đầu ăn ở aeon mall đc tặng trà miễn phí nên mình tính tiên xong lên lầu ăn và hỏi thì nhân viên mặt hơi thiếu thiện cảm kêu chi nhánh này phải bỏ tiền mua : ) ) ) 
ăn chỗ này cũng lâu rồi mà giờ mình chưa quay lại vì cứ có cảm giác như nhân viên khinh học sinh : )
",Cảm nghĩ của bạn về thái độ phục vụ của nhân viên ở đây là gì?,có cảm giác như nhân viên khinh học sinh
foody_792,"Không gian đẹp , sang trọng, có khu vực lựa chọn đa dạng từ phòng lạnh với thiết kế đi trên kính thấy hồ cá phía dưới đôi khi làm giật mình . Có khu vực sân vường & trên lầu . Đẹp , và rộng . 
Nhân viên thân thiện, khá dễ thương , nhiệt tình .
Mình cho đây là quán cf lý tưởng nhất mình từng đặt chân đến và thích nhất ở SG . 
WC sạch . 
Thức uống ngon & khá đa dạng , tuy nhiên giá hơi mắc . 
Thích nhất lúc về đêm vì xung quanh toàn nến rất lung linh ^ ^
",Không gian quán được thiết kế như thế nào?,"đẹp , sang trọng, có khu vực lựa chọn đa dạng từ phòng lạnh với thiết kế đi trên kính thấy hồ cá phía dưới"
foody_793,"Không gian đẹp , sang trọng, có khu vực lựa chọn đa dạng từ phòng lạnh với thiết kế đi trên kính thấy hồ cá phía dưới đôi khi làm giật mình . Có khu vực sân vường & trên lầu . Đẹp , và rộng . 
Nhân viên thân thiện, khá dễ thương , nhiệt tình .
Mình cho đây là quán cf lý tưởng nhất mình từng đặt chân đến và thích nhất ở SG . 
WC sạch . 
Thức uống ngon & khá đa dạng , tuy nhiên giá hơi mắc . 
Thích nhất lúc về đêm vì xung quanh toàn nến rất lung linh ^ ^
",Đánh giá của khách hàng về nhân viên tại quán?,"thân thiện, khá dễ thương , nhiệt tình"
foody_794,"Không gian đẹp , sang trọng, có khu vực lựa chọn đa dạng từ phòng lạnh với thiết kế đi trên kính thấy hồ cá phía dưới đôi khi làm giật mình . Có khu vực sân vường & trên lầu . Đẹp , và rộng . 
Nhân viên thân thiện, khá dễ thương , nhiệt tình .
Mình cho đây là quán cf lý tưởng nhất mình từng đặt chân đến và thích nhất ở SG . 
WC sạch . 
Thức uống ngon & khá đa dạng , tuy nhiên giá hơi mắc . 
Thích nhất lúc về đêm vì xung quanh toàn nến rất lung linh ^ ^
",Khách hàng đánh giá WC của quán ra sao?,sạch
foody_795,"Không gian đẹp , sang trọng, có khu vực lựa chọn đa dạng từ phòng lạnh với thiết kế đi trên kính thấy hồ cá phía dưới đôi khi làm giật mình . Có khu vực sân vường & trên lầu . Đẹp , và rộng . 
Nhân viên thân thiện, khá dễ thương , nhiệt tình .
Mình cho đây là quán cf lý tưởng nhất mình từng đặt chân đến và thích nhất ở SG . 
WC sạch . 
Thức uống ngon & khá đa dạng , tuy nhiên giá hơi mắc . 
Thích nhất lúc về đêm vì xung quanh toàn nến rất lung linh ^ ^
",Menu của quán như thế nào?,khá đa dạng
foody_796,"Không gian đẹp , sang trọng, có khu vực lựa chọn đa dạng từ phòng lạnh với thiết kế đi trên kính thấy hồ cá phía dưới đôi khi làm giật mình . Có khu vực sân vường & trên lầu . Đẹp , và rộng . 
Nhân viên thân thiện, khá dễ thương , nhiệt tình .
Mình cho đây là quán cf lý tưởng nhất mình từng đặt chân đến và thích nhất ở SG . 
WC sạch . 
Thức uống ngon & khá đa dạng , tuy nhiên giá hơi mắc . 
Thích nhất lúc về đêm vì xung quanh toàn nến rất lung linh ^ ^
",Bạn thích đến quán vào lúc nào nhất?,lúc về đêm
foody_797,"Đọc được review trên mạng nói quán này là một trong 13 quán cafe đẹp phải đến khi tới SG. 
Tuy nhiên , khi đến đây , tôi thựd sự thất vọng hoàn toàn . 
Tôi đến vào tầm 20h , nhưng quán rất nóng , ngồi đợi menu mãi nhưng nhân viên chỉ lo nói chuyện, không quan tâm lắm đến khách . 
Tôi có gọi món bún cá , đợi mãi 30p sau mới được phục vụ . 
Khi thấy món ăn , tôi cảm thấy 30p chờ đợi của tôi thật uổng phí . Tô bún trang trí còn thua đồ ăn lề đường , vị quá ngọt , không thể nuốt nổi . Tôi không tìm ra được bất cứ lý do nào để bào chữa cho tô bún này . 
Quán có không gian đẹp , thái độ phục vụ tệ . 
Tôi sẽ cố gắng kiếm một ký do để có thể quay lại quán vào lần sau .
",Những review trên mạng nói gì về quán?,quán này là một trong 13 quán cafe đẹp phải đến khi tới SG
foody_798,"Đọc được review trên mạng nói quán này là một trong 13 quán cafe đẹp phải đến khi tới SG. 
Tuy nhiên , khi đến đây , tôi thựd sự thất vọng hoàn toàn . 
Tôi đến vào tầm 20h , nhưng quán rất nóng , ngồi đợi menu mãi nhưng nhân viên chỉ lo nói chuyện, không quan tâm lắm đến khách . 
Tôi có gọi món bún cá , đợi mãi 30p sau mới được phục vụ . 
Khi thấy món ăn , tôi cảm thấy 30p chờ đợi của tôi thật uổng phí . Tô bún trang trí còn thua đồ ăn lề đường , vị quá ngọt , không thể nuốt nổi . Tôi không tìm ra được bất cứ lý do nào để bào chữa cho tô bún này . 
Quán có không gian đẹp , thái độ phục vụ tệ . 
Tôi sẽ cố gắng kiếm một ký do để có thể quay lại quán vào lần sau .
",Cảm nhận của bạn khi trải nghiệm thực tế tại quán?,thất vọng hoàn toàn
foody_799,"Đọc được review trên mạng nói quán này là một trong 13 quán cafe đẹp phải đến khi tới SG. 
Tuy nhiên , khi đến đây , tôi thựd sự thất vọng hoàn toàn . 
Tôi đến vào tầm 20h , nhưng quán rất nóng , ngồi đợi menu mãi nhưng nhân viên chỉ lo nói chuyện, không quan tâm lắm đến khách . 
Tôi có gọi món bún cá , đợi mãi 30p sau mới được phục vụ . 
Khi thấy món ăn , tôi cảm thấy 30p chờ đợi của tôi thật uổng phí . Tô bún trang trí còn thua đồ ăn lề đường , vị quá ngọt , không thể nuốt nổi . Tôi không tìm ra được bất cứ lý do nào để bào chữa cho tô bún này . 
Quán có không gian đẹp , thái độ phục vụ tệ . 
Tôi sẽ cố gắng kiếm một ký do để có thể quay lại quán vào lần sau .
",Bầu không khí trong quán như thế nào?,nóng
foody_800,"Đọc được review trên mạng nói quán này là một trong 13 quán cafe đẹp phải đến khi tới SG. 
Tuy nhiên , khi đến đây , tôi thựd sự thất vọng hoàn toàn . 
Tôi đến vào tầm 20h , nhưng quán rất nóng , ngồi đợi menu mãi nhưng nhân viên chỉ lo nói chuyện, không quan tâm lắm đến khách . 
Tôi có gọi món bún cá , đợi mãi 30p sau mới được phục vụ . 
Khi thấy món ăn , tôi cảm thấy 30p chờ đợi của tôi thật uổng phí . Tô bún trang trí còn thua đồ ăn lề đường , vị quá ngọt , không thể nuốt nổi . Tôi không tìm ra được bất cứ lý do nào để bào chữa cho tô bún này . 
Quán có không gian đẹp , thái độ phục vụ tệ . 
Tôi sẽ cố gắng kiếm một ký do để có thể quay lại quán vào lần sau .
",Thái độ phục vụ của nhân viên đối với khách hàng như thế nào?,"chỉ lo nói chuyện, không quan tâm lắm đến khách"
foody_801,"Đọc được review trên mạng nói quán này là một trong 13 quán cafe đẹp phải đến khi tới SG. 
Tuy nhiên , khi đến đây , tôi thựd sự thất vọng hoàn toàn . 
Tôi đến vào tầm 20h , nhưng quán rất nóng , ngồi đợi menu mãi nhưng nhân viên chỉ lo nói chuyện, không quan tâm lắm đến khách . 
Tôi có gọi món bún cá , đợi mãi 30p sau mới được phục vụ . 
Khi thấy món ăn , tôi cảm thấy 30p chờ đợi của tôi thật uổng phí . Tô bún trang trí còn thua đồ ăn lề đường , vị quá ngọt , không thể nuốt nổi . Tôi không tìm ra được bất cứ lý do nào để bào chữa cho tô bún này . 
Quán có không gian đẹp , thái độ phục vụ tệ . 
Tôi sẽ cố gắng kiếm một ký do để có thể quay lại quán vào lần sau .
",Thời gian bạn chờ phục vụ món đã gọi là bao lâu?,30p
foody_802,"Đọc được review trên mạng nói quán này là một trong 13 quán cafe đẹp phải đến khi tới SG. 
Tuy nhiên , khi đến đây , tôi thựd sự thất vọng hoàn toàn . 
Tôi đến vào tầm 20h , nhưng quán rất nóng , ngồi đợi menu mãi nhưng nhân viên chỉ lo nói chuyện, không quan tâm lắm đến khách . 
Tôi có gọi món bún cá , đợi mãi 30p sau mới được phục vụ . 
Khi thấy món ăn , tôi cảm thấy 30p chờ đợi của tôi thật uổng phí . Tô bún trang trí còn thua đồ ăn lề đường , vị quá ngọt , không thể nuốt nổi . Tôi không tìm ra được bất cứ lý do nào để bào chữa cho tô bún này . 
Quán có không gian đẹp , thái độ phục vụ tệ . 
Tôi sẽ cố gắng kiếm một ký do để có thể quay lại quán vào lần sau .
",Cảm giác của bạn như thế nào khi được phục vụ món ăn sau khoảng thời gian chờ món?,cảm thấy 30p chờ đợi của tôi thật uổng phí
foody_803,"Đọc được review trên mạng nói quán này là một trong 13 quán cafe đẹp phải đến khi tới SG. 
Tuy nhiên , khi đến đây , tôi thựd sự thất vọng hoàn toàn . 
Tôi đến vào tầm 20h , nhưng quán rất nóng , ngồi đợi menu mãi nhưng nhân viên chỉ lo nói chuyện, không quan tâm lắm đến khách . 
Tôi có gọi món bún cá , đợi mãi 30p sau mới được phục vụ . 
Khi thấy món ăn , tôi cảm thấy 30p chờ đợi của tôi thật uổng phí . Tô bún trang trí còn thua đồ ăn lề đường , vị quá ngọt , không thể nuốt nổi . Tôi không tìm ra được bất cứ lý do nào để bào chữa cho tô bún này . 
Quán có không gian đẹp , thái độ phục vụ tệ . 
Tôi sẽ cố gắng kiếm một ký do để có thể quay lại quán vào lần sau .
",Cách trang trí món ăn của quán như thế nào?,thua đồ ăn lề đường 
foody_804,"Đọc được review trên mạng nói quán này là một trong 13 quán cafe đẹp phải đến khi tới SG. 
Tuy nhiên , khi đến đây , tôi thựd sự thất vọng hoàn toàn . 
Tôi đến vào tầm 20h , nhưng quán rất nóng , ngồi đợi menu mãi nhưng nhân viên chỉ lo nói chuyện, không quan tâm lắm đến khách . 
Tôi có gọi món bún cá , đợi mãi 30p sau mới được phục vụ . 
Khi thấy món ăn , tôi cảm thấy 30p chờ đợi của tôi thật uổng phí . Tô bún trang trí còn thua đồ ăn lề đường , vị quá ngọt , không thể nuốt nổi . Tôi không tìm ra được bất cứ lý do nào để bào chữa cho tô bún này . 
Quán có không gian đẹp , thái độ phục vụ tệ . 
Tôi sẽ cố gắng kiếm một ký do để có thể quay lại quán vào lần sau .
",Hương vị của quán được khách hàng đánh giá thế nào?,"quá ngọt , không thể nuốt nổi"
foody_805,"Đọc được review trên mạng nói quán này là một trong 13 quán cafe đẹp phải đến khi tới SG. 
Tuy nhiên , khi đến đây , tôi thựd sự thất vọng hoàn toàn . 
Tôi đến vào tầm 20h , nhưng quán rất nóng , ngồi đợi menu mãi nhưng nhân viên chỉ lo nói chuyện, không quan tâm lắm đến khách . 
Tôi có gọi món bún cá , đợi mãi 30p sau mới được phục vụ . 
Khi thấy món ăn , tôi cảm thấy 30p chờ đợi của tôi thật uổng phí . Tô bún trang trí còn thua đồ ăn lề đường , vị quá ngọt , không thể nuốt nổi . Tôi không tìm ra được bất cứ lý do nào để bào chữa cho tô bún này . 
Quán có không gian đẹp , thái độ phục vụ tệ . 
Tôi sẽ cố gắng kiếm một ký do để có thể quay lại quán vào lần sau .
",Bạn có nghĩ vì lí do nào đó mà chất lượng món ăn hôm nay không được tốt?,không tìm ra được bất cứ lý do nào để bào chữa
foody_806,"Đọc được review trên mạng nói quán này là một trong 13 quán cafe đẹp phải đến khi tới SG. 
Tuy nhiên , khi đến đây , tôi thựd sự thất vọng hoàn toàn . 
Tôi đến vào tầm 20h , nhưng quán rất nóng , ngồi đợi menu mãi nhưng nhân viên chỉ lo nói chuyện, không quan tâm lắm đến khách . 
Tôi có gọi món bún cá , đợi mãi 30p sau mới được phục vụ . 
Khi thấy món ăn , tôi cảm thấy 30p chờ đợi của tôi thật uổng phí . Tô bún trang trí còn thua đồ ăn lề đường , vị quá ngọt , không thể nuốt nổi . Tôi không tìm ra được bất cứ lý do nào để bào chữa cho tô bún này . 
Quán có không gian đẹp , thái độ phục vụ tệ . 
Tôi sẽ cố gắng kiếm một ký do để có thể quay lại quán vào lần sau .
",Thái độ phục vụ của quán thế nào?,tệ
foody_807,"Đọc được review trên mạng nói quán này là một trong 13 quán cafe đẹp phải đến khi tới SG. 
Tuy nhiên , khi đến đây , tôi thựd sự thất vọng hoàn toàn . 
Tôi đến vào tầm 20h , nhưng quán rất nóng , ngồi đợi menu mãi nhưng nhân viên chỉ lo nói chuyện, không quan tâm lắm đến khách . 
Tôi có gọi món bún cá , đợi mãi 30p sau mới được phục vụ . 
Khi thấy món ăn , tôi cảm thấy 30p chờ đợi của tôi thật uổng phí . Tô bún trang trí còn thua đồ ăn lề đường , vị quá ngọt , không thể nuốt nổi . Tôi không tìm ra được bất cứ lý do nào để bào chữa cho tô bún này . 
Quán có không gian đẹp , thái độ phục vụ tệ . 
Tôi sẽ cố gắng kiếm một ký do để có thể quay lại quán vào lần sau .
",Quán có không gian thế nào?,đẹp
foody_808,"Bình thường m vẫn order cherry xách tay về nhưng hm đó thèm quá nên ghé qua cửa hàng trái cây gần nhà . 
Má ơi cherry 680k/kg hộp m 1,5 kg 😭 😭 😭 
Mua xong xót hết cả lòng . 
Mà k hỉu có thật là hàng nhập ở châu âu ko .
Bị thối hỏng mất 1 ít. 
Quả to bé tất cả đều có hạt , quả ngọt quả nhạt . 
Thôi từ nay m cạch chỗ này lun 😂 Thấy quá tốn tiền mà ko xứng đáng với chất lượng
",Bình thường khách hàng mua Cherry ở đâu?,order cherry xách tay về
foody_809,"Bình thường m vẫn order cherry xách tay về nhưng hm đó thèm quá nên ghé qua cửa hàng trái cây gần nhà . 
Má ơi cherry 680k/kg hộp m 1,5 kg 😭 😭 😭 
Mua xong xót hết cả lòng . 
Mà k hỉu có thật là hàng nhập ở châu âu ko .
Bị thối hỏng mất 1 ít. 
Quả to bé tất cả đều có hạt , quả ngọt quả nhạt . 
Thôi từ nay m cạch chỗ này lun 😂 Thấy quá tốn tiền mà ko xứng đáng với chất lượng
",Vì sao hôm đó khách hàng mua Cherry ở chỗ khác?,thèm
foody_810,"Bình thường m vẫn order cherry xách tay về nhưng hm đó thèm quá nên ghé qua cửa hàng trái cây gần nhà . 
Má ơi cherry 680k/kg hộp m 1,5 kg 😭 😭 😭 
Mua xong xót hết cả lòng . 
Mà k hỉu có thật là hàng nhập ở châu âu ko .
Bị thối hỏng mất 1 ít. 
Quả to bé tất cả đều có hạt , quả ngọt quả nhạt . 
Thôi từ nay m cạch chỗ này lun 😂 Thấy quá tốn tiền mà ko xứng đáng với chất lượng
",Giá của cherry tại cửa hàng trái cây bao nhiêu một kg?,680k
